All,Kaikki
"Private Key","Yksityinen avain"
"Advanced Braintree Settings","Kehittynyt Braintree asetukset"
"Vault Title","Vault otsikko"
"Merchant Account ID","Kauppiastilin ID"
"Advanced Fraud Protection","Edistynut petosten suojaus"
"Kount Merchant ID",Kount-kauppiastunnus
"CVV Verification",CVV-tarkastus
"Country Specific Settings","Maakohtaiset asetukset"
"Country Specific Credit Card Types","Maakohtaiset luottokorttityypit"
"PayPal through Braintree","PayPal Braintreen kautta"
"Override Merchant Name","Ohita kauppiaan nimi"
"Require Customer's Billing Address","Vaadi asiakkaan laskutusosoite"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","Salli vaihtaa lähetysosoite checkoutissa paypalpuolella"
"Display on Shopping Cart","Näytä ostoskorissa"
"Skip Order Review","Ohita tilauksen katselu"
"3D Secure Verification Settings","3D turvallista todentamista asetukset"
"3D Secure Verification","3D turvallista todentamista"
"Threshold Amount",Raja-arvo
"Verify for Applicable Countries","Tarkista soveltuviin maihin"
"Verify for Specific Countries","Tarkista tiettyihin maihin"
"Dynamic Descriptors","Dynaaminen kuvaukset"
Phone,Puhelin
URL,Osoite
"CVV is required.","CVV vaaditaan."
"CVV must be 4 digits for American Express and 3 digits for other card types.","CVV on oltava 4 numeroa American Express ja 3 numeroa muissa korteissa."
"Expiration year is invalid. It must be between 1975 and 2201.","Expiration vuosi on virheellinen. Pitää olla vuosina1975-2201."
"Cardholder name is too long.","Kortinhaltijan nimi on liian pitkä."
"CVV verification failed.","CVV tarkistaminen epäonnistui."
"Postal code verification failed.","Postinumeron tarkistus epäonnistui."
"Credit card number is prohibited.","Luottokorttinumero on kielletty."
"Addresses must have at least one field filled in.","Osoitteessa on oltava vähintään yksi kenttä täytetty."
"First name is too long.","Etunimi on liian pitkä."
"Street address is too long.","Katuosoite on liian pitkä."
"US state codes must be two characters to meet PayPal Seller Protection requirements.","Yhdysvaltain valtion on oltava kaksi merkkiä täyttää PayPal myyjän vaatimukset."
"Incomplete PayPal account information.","Epätäydellinen PayPal tilin tiedot."
"Invalid PayPal account information.","Virheellinen PayPal tilin tiedot."
"PayPal Accounts are not accepted by this merchant account.","Kauppa-tili ei hyväksynyt PayPal tilit."
"Billing address format is invalid.","Laskutus muoto ei kelpaa."
"Country code is not accepted. Please contact the store administrator.","Maakoodia ei hyväksytä. Ota yhteyttä kaupan administratoriin."
"Provided country information is inconsistent.","Antamasi maa informaatio on ristiriitainen."
"Customer has already reached the maximum of 50 addresses.","Asiakas on jo saavuttanut enintään 50 edellistä osoitetta."
"Address is invalid. Please contact the store administrator.","Osoite ei kelpaa. Ota yhteyttä kaupan administratoriin."
"Error communicating with PayPal.","Virhe yhteydessä PayPal."
"PayPal authentication expired.","PayPal todentaminen vanhentunut."
"Error executing PayPal order.","Virhe suoritettaessa PayPal tilaus."
"Error executing PayPal billing agreement.","Virhe suoritettaessa PayPal laskutus sopimuksen."
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.","Suodata, jotta saat tuloksia. Vain ensimmäiset 100 tietueet näytetään ruudukossa voit voi ladata koko version raportin .csv-muodossa."
Select...,Valitse...
"Transaction Type",Tapahtumatyyppi
"Payment Type","Maksun tyyppi"
"PayPal Payment ID",PayPal-maksutunnus
"Created At",Luotu
"Transaction ID","Maksun ID"
"Order ID",Tilausnumero
Amount,Summa
"Settlement Code","Maksuvaraus koodi"
"Settlement Response Text","Maksuvaraus vastaus teksti"
"Refund Ids","Hyvitykset id:t"
"Settlement Batch ID","Maksuvaraus Erätunnus ID"
Month,Kuukausi
Year,Vuosi
"Stored Card","Tallennettu kortti"
"Credit card successfully added","Luottokortin lisääminen onnistui"
"Something went wrong while saving the card.","Tapahtui virhe korttia tallennettaessa."
"Credit card does not exist","Luottokortti ei ole olemassa"
"Delete Credit Card","Poista luottokortti"
"There was error deleting the credit card","Luottokorttia poistettaessa ilmeni virhe"
"Credit card successfully deleted","Luottokortin poistaminen onnistui"
"Edit Credit Card","Muokkaa luottokortin tietoja"
"My Credit Cards","Omat luottokortit"
"New Credit Card","Uusi luottokortti"
"There was error during saving card data","Kortin tallentamisen aikana tapahtui virhe"
"We can't place the order.","Tilausta ei voida tehdä."
"Incorrect payment method.","Virheellinen maksutapa."
"We can't update shipping method.","Emme voi päivittää toimitustapaa."
"Credit card type is not allowed for your country.","Luottokorttityyppi ei ole sallittu kohdemaalle."
"Credit card type is not allowed for this payment method.","Luottokorttityyppi ei ole sallittu tälle maksutavalle."
"Selected payment type is not allowed for billing country.","Valittu maksutapa ei ole sallittu laskutusmaalle."
"Incomplete payment information.","Puutteelliset maksutiedot."
"Please try again later","Yritä myöhemmin uudelleen"
Invoice,Lasku
Shipment,Lähetys
"Invalid Customer ID provided","Virheellinen asiakastunnus"
"some error","jokin virhe"
"a,b,c","a, b, c"
"Something went wrong while processing.","Tapahtui virhe käsiteltäessä."
error,virhe
exception,poikkeus
"Payment Information",Maksutiedot
"Add new card","Lisää uusi kortti"
"Save this card for future use","Tallenna tämä kortti myöhempää käyttöä varten"
or,tai
"Please confirm that you want to delete this credit card","Vahvista, että haluat poistaa tämän luottokortin"
"Cardholder Name","Kortinhaltijan nimi"
"* Required Fields","* Pakolliset kentät"
"Make Default","Aseta oletukseksi"
"Billing Address",Laskutusosoite
Company,Yritys
Address,Katuosoite
State/Province,Osavaltio/provinssi
"Please select region, state or province","Valitse alue, osavaltio tai provinssi"
"Zip/Postal Code",Postinumero
"Add Credit Card","Lisää luottokortti"
"Card Number","Kortin numero"
"Is Default",Oletus
"An error occured with payment processing.","Tapahtui virhe tilauksen prosessoinnissa."
"Can not initialize PayPal (Braintree)","Ei voida initialisoida PayPalia (Braintree)"
"Allow Duplicate Cards","Salli korttien kaksoiskappaleet"
"Enable Credit Card auto-detection on Storefront","Ota luottokortin automaattinen tunnistus käyttöön kaupan etusivulla"
"Your Kount ID",Kount-tunnuksesi
"Use Cache","Käytä välimuistia"
"Edit My Credit Cards","Muokkaa luottokorttien tietoja"
"Pay with PayPal","Maksa PayPalilla"
"Paypal account",PayPal-tili
"Coinbase account",Coinbase-tili
"Europe bank account","Eurooppalainen pankkitili"
"Credit card",Luottokortti
"Apple pay card",Apple-maksukortti
"Android pay card",Android-maksukortti
"Authorization expired","Valtuutus umpeutunut"
Authorizing,Varmentaa
Authorized,Sallittu
"Gateway rejected","Yhteyskanava katkennut"
Failed,Epäonnistui
"Processor declined","Prosessi katkennut"
Settled,Ratkaistu
Settling,Ratkaistaan
"Submitted for settlement","Vahivstettu maksuun"
Voided,Mitätöity
Unrecognized,Määrittelemätön
"Settlement declined","Maksuvaraus hylätty"
"Settlement pending","Selvitys vireillä"
"Settlement confirmed","Maksuvaraus hyväksytty"
Sale,Alennusmyynti
Credit,Saldo
"Vault enabled","Holvi päällä"
"Percent Discount",Alennusprosentti
"-- Select --","-- Valitse --"
Dynamic,Dynaaminen
Fixed,Kiinteä
"Create New Option","Luo uusi vaihtoehto"
"Bundle Items",Pakettituotteet
"Add Products to Option","Tuotteiden lisääminen ryhmään"
"What are you looking for?","Mitä olet etsimässä?"
"Price Range",Hintahaarukka
"As Low as",Alkaen
Together,Yhdessä
Separately,Erikseen
"We can't add this item to your shopping cart right now.","Emme voi lisätä tätä tuotetta ostoskoriisi juuri nyt."
N/A,"Ei tietoa"
Percent,Prosenttia
"Add Selected Products","Lisää valitut tuotteet"
"Add Option","Lisää valinta"
"New Option","Uusi Valinta"
"Store View Title","Kauppanäkymän otsikko"
"Input Type","Syötteen tyyppi"
Drop-down,Pudotusvalikko
"Radio Buttons",Valintanapit
Checkbox,Valintaruutu
"Multiple Select",Monivalinta
Required,Vaadittu
"Default Quantity",Oletusmäärä
"Price Type",Hintatyyppi
None,"Ei mikään"
Quantity:,Määrä:
Default,Oletus
Ordered,Tilatut
Invoiced,Laskutettu
Shipped,Lähetetty
Refunded,Hyvitetty
Canceled,Peruutettu
"Regular Price",Normaalihinta
"As low as",Alkaen
"Go back to product details","Palaa tuotetietoihin"
"Customize and Add to Cart","Muokkaa ja lisää ostoskoriin"
Availability,Saatavuus
"In stock",Varastossa
"Out of stock","Ei varastossa"
Availability:,Saatavuus:
"Gift Message",Lahjaviesti
From:,Alkaen:
To:,Vastaanottaja:
Message:,Viesti:
"Product Name",Tuotenimi
"Discount Amount","Alennuksen määrä"
"Row Total","Rivin summa"
"Qty Invoiced","Laskutettu määrä"
"Qty Shipped","Lähetetty määrä"
"Add Products to Option ""%1""","Tuotteiden lisääminen vaihtoehto ”%1”"
"Special Price",Tarjoushinta
Always,Aina
"After number of attempts to login","Kirjautumisyritysmäärän jälkeen"
"Provided form does not exist","Annettua lomaketta ei ole olemassa"
"Incorrect CAPTCHA","Virheellinen CAPTCHA"
"Incorrect CAPTCHA.","Virheellinen CAPTCHA."
"The account is locked. Please wait and try again or contact %1.","Tili on lukittu. Odota hetki ja yritä uudelleen tai ota yhteyttä %1."
"Please enter the letters and numbers from the image","Kirjoita kuvassa näkyvät kirjaimet ja numerot"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Huomio</strong>: Captchassa kirjainkoolla on väliä."
"Reload captcha","Uudelleenlataa CAPTCHA"
"Please type the letters and numbers below","Ole hyvä ja kirjoita alapuolella olevat kirjaimet"
"Attention: Captcha is case sensitive.","Huomio: Captchassa kirjainkoolla on väliä."
"Enable CAPTCHA in Admin","Ota CAPTCHA käyttöön hallintasivulla"
Font,Fontti
Forms,Lomakkeet
"Displaying Mode",Näyttötila
"Number of Unsuccessful Attempts to Login","Epäonnistuneiden kirjautumisyritysten määrä"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Jos 0 on määritetty, kirjautumislomakkeen CAPTCHA on aina saatavilla."
"CAPTCHA Timeout (minutes)","CAPTCHA-aikakatkaisu (minuutteina)"
"Number of Symbols","Merkkien määrä"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Määritä enintään 8 symbolia. Valintaväli hyväksytään (esimerkiksi 3-5)"
"Symbols Used in CAPTCHA","CAPTCHAssa käytetyt merkit"
"Case Sensitive","Kirjainkoolla on väliä"
"Enable CAPTCHA on Storefront","Ota CAPTCHA käyttöön kaupan etusivulla"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","Jos valittu, CAPTCHA on aina käytössä lomakkeilla ""Luo käyttäjä"" ja ""Unohditko salasanasi""."
Root,Juuri
"Use Config Settings","Käytä kokoonpanon asetuksia"
"Use All Available Attributes","Käytä kaikkia käytettävissä olevia attribuutteja"
"Add Subcategory","Lisää alakategoria"
"Add Root Category","Lisää juurikategoria"
Day,Päivä
from,alkaen
to,asti
[GLOBAL],[GLOBAALI]
[WEBSITE],[VERKKOKAUPPA]
"[STORE VIEW]",[KAUPPANÄKYMÄ]
"WYSIWYG Editor",WYSIWYG-editori
"Add Product","Lisää tuote"
label,tunniste
"Product Attributes","Tuotteen attribuutit"
"Add New Attribute","Lisää uusi attribuutti"
"Save Attribute","Tallenna attribuutti"
"Save in New Attribute Set","Tallenna uusi attribuuttiryhmä"
"Enter Name for New Attribute Set","Syötä nimi uudelle atribuuttiryhmälle"
"Delete Attribute","Poista attribuutti"
"Edit Product Attribute ""%1""","Muokkaa tuoteattribuuttia ""%1"""
"New Product Attribute","Uusi tuoteattribuutti"
"Advanced Attribute Properties","Edistyneet määritteen ominaisuudet"
"Attribute Code",Attribuuttikoodi
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Tätä käytetään sisäisesti. Varmista, ettet käytä välilyöntejä tai yli %1 symbolia."
"Default Value",Oletusarvo
"Unique Value","Yksilöllinen arvo"
"Unique Value (not shared with other products)","Yksilöllinen arvo (ei jaeta muiden tuotteiden kanssa)"
"Not shared with other products.","Ei jaeta muiden tuotteiden kanssa."
"Input Validation for Store Owner","Kauppiaan syötteen validointi"
"Add to Column Options","Lisää sarakkeen valintoihin"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Valitse ""Kyllä"" tämän attribuutin lisäämiseksi sarakkeen valintoihin tuoteruudukossa."
"Use in Filter Options","Käytä suodattimen asetuksissa"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Valitse ""Kyllä"" tämän attribuutin lisäämiseksi suodatusvalintoihin tuoteruudukossa."
Website,Sivusto
Global,Globaali
Scope,Kohde
"Declare attribute value saving scope.","Ilmoita ominaisuuden arvon säästöalue."
"Storefront Properties","Kaupan etusivun ominaisuudet"
"Use in Search","Käytä haussa"
"Visible in Advanced Search","Näkyvissä tarkennetussa haussa"
"Comparable on Storefront","Vertailtavissa kaupan etusivulla"
"Use for Promo Rule Conditions","Käytä mainossäännön ehdoissa"
"Allow HTML Tags on Storefront","Salli HTML-tunnisteet kaupan etusivulla"
"Visible on Catalog Pages on Storefront","Näkyvillä katalogin sivuilla kaupassa"
"Used in Product Listing","Käytetään tuotelistauksessa"
"Depends on design theme.","Riippuu ulkoasun teemasta."
"Used for Sorting in Product Listing","Käytetään tuotteen lajittelussa tuotelistauksessa"
"Media Image","Media Kuva"
Gallery,Galleria
"System Properties",Järjestelmäominaisuudet
"Data Type for Saving in Database","Datan tyyppi tallettaessa tietokantaan"
Text,Teksti
Static,Staattinen
Decimal,Desimaali
Integer,Kokonaisluku
"Globally Editable","Globaalisti muokattavissa"
"Attribute Information","Attribuutin tiedot"
Properties,Ominaisuudet
"Manage Labels","Hallinnoi nimikkeitä"
Visible,Näkyvissä
Searchable,Haettavissa
Comparable,Vertailtavissa
"Delete Selected Group","Poista valittu ryhmä"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","Olet poistamassa kaikki tuotteet tästä määriteryhmästä. Oletko varma, että haluat tehdä sen?"
"New Set Name","Uuden setin nimi"
"Edit Attribute Set '%1'","Muokkaa attribuuttiryhmää ""%1"""
Empty,Tyhjä
"Add Attribute","Lisää attribuutti"
"Add New Group","Lisää uusi ryhmä"
"Add Group","Lisää ryhmä"
"For internal use","Sisäiseen käyttöön"
"Based On",Perustuu
"Edit Attribute Set Name","Muokkaa attribuuttiryhmän nimeä"
"Add New Attribute Set","Lisää uusi attribuuttiryhmä"
"Add Attribute Set","Lisää attribuuttiryhmä"
"Attribute Sets",Attribuuttiryhmät
"Close Window","Sulje ikkuna"
"New Product","Uusi tuote"
"Save & Edit","Tallenna & muokkaa"
"Save & New","Tallenna & uusi"
"Save & Duplicate","Tallenna & luo kaksoiskappale"
"Save & Close","Tallenna & sulje"
Change,Vaihda
"Advanced Inventory","Kehittynyt varastohallinta"
Websites,Sivustot
"Products Information","Tuotteiden tietoja"
"Create Category","Luo kategoria"
"Category Name","Kategorian nimi"
"Parent Category",Pääkategoria
"Price Alert Subscriptions","Hintahälytysten tilaukset"
"Stock Alert Subscriptions","Varastohälytysten tilaukset"
"There are no customers for this alert.","Tälle hälytykselle ei ole asiakkaita."
"Subscribe Date",Tilauspäivämäärä
"Last Notified","Viimeksi muokattu"
"Send Count","Lähetys laskuri"
"New Attribute","Uusi ominaisuus"
"Attribute Set",Attribuuttiryhmä
"Add New Option","Lisää uusi vaihtoehto"
"Import Options","Tuomisen asetukset"
Import,Tuo
"Add New Row","Lisää uusi rivi"
"Delete Row","Poista rivi"
"Tier Pricing",Määräalennushinnoittelu
"Default Price",Oletushinta
"ALL GROUPS","KAIKKI RYHMÄT"
"Add Price","Lisää hinta"
"Default Values",Oletusarvot
"Related Products","Liittyvät tuotteet"
Up-sells,Lisämyynti
Cross-sells,Ristiinmyynti
"Size for %1","Koko %1"
"Watermark File for %1","Vesileimatiedosto %1"
"Position of Watermark for %1","Vesileiman sijainti %1"
"Name in %1","Nimi %1"
"Change Status","Muuta tila"
"Update Attributes","Päivitä attribuutit"
"start typing to search category","aloita kirjoitus hakeaksesi kategoriasta"
"New Category","Uusi kategoria"
"Add New Images","Lisää uusia kuvia"
"Inc. Tax",Verollinen
"Does this have a weight?","Onko tällä paino?"
"Notify Low Stock RSS",Varastosaldohuomautus
"Low Stock Products","Tuotteet, joilla on alhainen varastosaldo"
"%1 has reached a quantity of %2.","%1 on saavuttanut määrän %2."
"Go to Home Page","Siirry etusivulle"
"Subscribe to RSS Feed","Tilaa RSS-syöte"
"Products Comparison List","Tuotteiden vertailulista"
AM,AP
PM,IP
"New Products from %1","Uudet tuotteet %1"
"New Products","Uudet tuotteet"
"%1 - Special Products","%1 - Erikoistuotteet"
"Click for price","Klikkaa nähdäksesi hinnan"
"Special Expires On: %1","Spesiaali vanhenee: %1"
"Price: %1","Hinta: %1"
"Special Price: %1","Tarjoushinta: %1"
"Special Products",Erikoistuotteet
"Manage Catalog Categories","Hallitse katalogin kategorioita"
"Manage Categories","Hallitse kategorioita"
"You deleted the category.","Poistit kategorian."
"Something went wrong while trying to delete the category.","Jotain meni pieleen yrittäessäsi poistaa kategoriaa."
Categories,Kategoriat
"Category is not available for requested store.","Kategoria ei ole saatavilla pyytämässäsi kaupassa."
"There was a category move error.","Katogorian siirtovirhe."
"You moved the category.","Siirsit kategorian."
"Something went wrong while saving the category.","Tapahtui virhe kategoriaa tallennettaessa."
"You saved the category.","Tallensit kategorian."
"Please select products for attributes update.","Valitse tuotteita atribuuttien päivitykseen."
"Please make sure to define SKU values for all processed products.","Varmista, että määrittelit SKU arvot kaikille prosessoiduille tuotteille."
"Something went wrong while updating the product(s) attributes.","Tapahtui virhe tallennettaessa tuotteen attribuuttia."
"Unable to add attribute","Ei voi lisätä attribuuttia"
"Manage Product Attributes","Hallinnoi tuotteen attribuutteja"
"We can't delete the attribute.","Ominaisuutta ei voida poistaa."
"You deleted the product attribute.","Poistit tuotteen attribuutin."
"We can't find an attribute to delete.","Poistettavaa ominaisuutta ei löydy."
"This attribute no longer exists.","Attribuuttia ei ole enää olemassa."
"This attribute cannot be edited.","Tätä attribuuttia ei voi muokata."
"Edit Product Attribute","Muokkaa tuoteattribuuttia"
"An attribute set named '%1' already exists.","Ominaisuusjoukko nimellä '%1' on jo olemassa."
"Something went wrong while saving the attribute.","Tapahtui virhe tallennettaessa attribuuttia."
"We can't update the attribute.","Ominaisuutta ei voida päivittää."
"You saved the product attribute.","Tuoteattribuutti tallennettiin."
"An attribute with this code already exists.","Attribuutti tällä koodilla on jo olemassa."
"An attribute with the same code (%1) already exists.","Attribuutti samalla koodilla (%1) on jo olemassa."
"You duplicated the product.","Tuotteesta luotiin kaksoiskappale."
"This product doesn't exist.","Tätä tuotetta ei ole olemassa."
"Invalid product id. Should be numeric value greater than 0","Virheellinen tuotekoodi. Pitää olla numeerinen ja arvon suurempi, kuin 0"
"A group with the same name already exists.","Ryhmä samalla nimellä on jo olemassa."
"Something went wrong while saving this group.","Jotain meni pieleen tallennettaessa tätä ryhmää."
"A total of %1 record(s) have been deleted.","Yhteensä %1 tietue(tta) poistettu."
"A total of %1 record(s) have been updated.","Yhteensä %1 tietue(tta) päivitetty."
"Something went wrong while updating the product(s) status.","Jotain meni pieleen päivitettäessa tuotteiden tilaa."
"You saved the product.","Tuote tallennettiin."
"SKU for product %1 has been changed to %2.","SKU tuotteelle %1 on muutettu %2."
"The image cannot be removed as it has been assigned to the other image role","Kuvaa ei voida poistaa, koska se on liitetty toiseen tuotteeseen tai rooliin"
"New Attribute Set","Uusi attribuuttiryhmä"
"The attribute set has been removed.","Attribuuttiryhmä on poistettu."
"New Set","Uusi kokoelma"
"Manage Product Sets","Hallitse tuoteryhmiä"
"Manage Attribute Sets","Hallitse attribuuttiryhmiä"
"This attribute set no longer exists.","Attribuuttiryhmää ei ole enää olemassa."
"You saved the attribute set.","Tallensit attribuuttiryhmän."
"Something went wrong while saving the attribute set.","Tapahtui virhe tallennettaessa attribuuttiryhmää."
"You cleared the comparison list.","Olet tyhjentänyt vertailulistan."
"Something went wrong  clearing the comparison list.","Jotain meni pieleen vertailulistan tyhjennyksessä."
"You removed product %1 from the comparison list.","Poistit tuotteen %1 vertailulistalta."
"1 item","1 tuote"
"%1 items","%1 tuotetta"
"Are you sure you want to remove this item from your Compare Products list?","Oletko varma, että haluat poistaa tämän tuotteen vertailusta?"
"Are you sure you want to remove all items from your Compare Products list?","Oletko varma, että haluat poistaa kaikki tuotteet tuotteiden vertailulistalta?"
"Invalid attribute %1","Virheellinen attribuutti %1"
Grid,Ruudukko
List,Luettelo
"Product is not loaded","Tuotetta ei ole ladattu"
"Make sure the To Date is later than or the same as the From Date.","Varmista, että viimeinen päivämäärä on myöhempi tai sama kuin alkaen-päivämäärä."
"Something went wrong while getting the image url.","Jotiain meni pieleen haettaessa kuvan Urliä."
"Can't delete root category.","Juurikategoriaa ei voi poistaa."
"No layout updates","Ei asettelun päivityksiä"
"Products only","Vain tuotteet"
"Static block only","Vain staattinen lohko"
"Static block and products","Staattinen lohko ja tuotteet"
"Please select a static block.","Valitse staattinen lohko."
"Could not move category","Kategoriaa ei voitu siirtää"
"-- Please Select a Category --","--- Valitse kategoria ---"
"Grid Only","Vain ruudukko"
"List Only","Vain luettelo"
"Grid (default) / List","Ruudukko (oletus) / luettelo"
"List (default) / Grid","Luettelo (oletus) / Ruudukko"
Manual,Käsin
"-- Please select --","--- Valitse ---"
24h,24t
Stretch,Venytetty
Tile,Vierekkäin
Top/Left,Ylhäällä/Vasemmalla
Top/Right,Yläoikea
Bottom/Left,Alavasen
Bottom/Right,Alhaalla/Oikealla
Center,Keskitetty
"Something went wrong while saving the file(s).","Tapahtui virhe tiedostoa tallennettaessa."
"We can't rebuild the index for an undefined product.","Indeksiä ei voida uudelleenrakentaa määrittelemättömälle tuotteelle."
"Unsupported product type ""%1"".","Ei tuettu tuotetyyppi ""%1""."
Category,Kategoria
"Clear Price","Tyhjennä hinta"
"%1 and above","%1 ja yli"
"Please enter a number 0 or greater in this field.","Syötä tähän kenttää numero, joka on nolla (0) tai sitä suurempi."
"Please enter a valid number in this field.","Kirjoita kelvollinen numero tähän kenttään."
"Use config","Käytä kokoonpanon asetuksia"
"Attribute Set already exists.","Attribuuttiryhmä on jo olemassa."
"The product can't be saved.","Tuotetta ei voida tallentaa."
"The product doesn't exist. Verify and try again.","Tuotetta ei ole olemassa. Tarkista ja yritä uudelleen."
"The image doesn't exist. Verify and try again.","Kuvaa ei ole olemassa. Vahvista ja yritä uudelleen."
"The image doesn't exist.","Kuvaa ei ole olemassa."
"File '%1' is not an image.","Tiedosto '%1' ei ole kuva."
"Could not save Prices.","Hintoja ei voitu tallentaa."
"Could not delete Prices","Hintoja ei voitu poistaa"
"Not Visible Individually","Ei näkyvissä yksilöllisesti"
"Catalog, Search","Katalogi, Hakutulokset"
"Attribute '%1' is locked. %2","Ominaisuus '%1' on lukittu. %2"
Dropdown,Pudotusvalikko
"HTML is invalid","HTML on virheellinen"
message,viesti
"Product Name or SKU","Tuotenimi tai -koodi"
"Advanced Pricing","Hinnoittelun lisäasetukset"
"Customer Group Price",Asiakasryhmähinta
"Customer Group",Asiakasryhmä
"Special Price From","Tarjoushinta alkaen"
"Product Alerts",Tuotehälytykset
"Select Attribute","Valitse attribuutti"
"Create New Attribute","Luo uusi attribuutti"
"Custom options let customers choose the product variations they want.","Mukautetut vaihtoehdot antavat asiakkaiden valita haluamansa tuotevariaatiot."
"Select Product","Valitse tuote"
"Add Value","Lisää arvo"
"Maximum Image Size","Kuvan enimmäiskoko"
"This item has weight","Tämä nimikkeellä on paino"
"This item has no weight","Tällä nimikkeellä ei ole painoa"
"Set Product as New From","Aseta tuote uudeksi alkaen"
"Add Related Products","Lisää liittyviä tuotteita"
"Schedule Update From","Ajoita päivitys alkaen"
"Product in Websites","Tuote sivustoilla"
name,nimi
"Collapse All","Sulje kaikki"
"Expand All","Laajenna kaikki"
"Please confirm site switching. All data that hasn't been saved will be lost.","Vahvista sivuston vaihtaminen. Kaikki tallentamattomat tiedot menetetään."
"Manage Titles (Size, Color, etc.)","Hallinnoi nimiä (koko, väri jne.)"
"Manage Options (Values of Your Attribute)","Hallinnoi vaihtoehtoja (attribuutin arvoja)"
"Sort Option",Lajittelu
Groups,Ryhmät
"Unassigned Attributes","Määrittämättömät attribuutit"
"A name is required.","Nimi on pakollinen."
"This is a required option.","Tämä on pakollinen kenttä."
"The field isn't complete.","Kenttään kirjoitettu syöte ei vielä täysin täytä vaatimuksia."
"Maximum image width","Kuvan enimmäisleveys"
"Maximum image height","Kuvan enimmäiskorkeus"
"Maximum number of characters:","Merkkien enimmäismäärä:"
"Manage Stock",Varastonhallinta
"Out-of-Stock Threshold","Ei varastossa -kynnysarvo"
"Maximum Qty Allowed in Shopping Cart","Sallittu enimmäismäärä ostoskorissa"
"Qty Uses Decimals","Määrä käyttää desimaaleja"
Backorders,Jälkitoimitukset
"Notify for Quantity Below","Ilmoita jos määrä on alle"
"Enable Qty Increments","Ota porrastetut määrät käyttöön"
"Qty Increments",Määräporras
"Stock Availability","Saatavuus varastossa"
"In Stock",Varastossa
"Out of Stock","Ei varastossa"
"Add Product To Websites","Lisää tuote sivustoille"
"Item Price","Tuotteen hinta"
"and above","ja yli"
"Product In Websites","Tuote sivustoilla"
"Delete image","Poista kuva"
Hidden,Piilotettu
"Alt Text","Alt teksti"
Role,Rooli
"Image Size","Kuvan koko"
"Image Resolution","Kuvan resoluutio"
"Hide from Product Page","Piilota tuotesivulta"
"Allow Multiple Boxes for Shipping","Salli lähetys useassa laatikossa"
"Basic Settings",Perusasetukset
"Advanced Settings",Lisäasetukset
"Buy %1 for: ","Osta %1 hintaan: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Osta %1 hintaan %2/kpl ja <strong class=""benefit"">säästä<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>"
"Buy %1 for %2 each","Osta %1 hintaan %2/kpl"
"You added product %1 to the <a href=""%2"">comparison list</a>.","Lisäsit tuotteen %1 <a href=""%2"">vertailulistalle</a>."
"Shop By",Rajaa
"Shopping Options",Listausvalinnat
"Compare Products","Vertaa tuotteita"
"Print This Page","Tulosta tämä sivu"
"Remove Product","Poista tuote"
"Add to Wish List","Lisää toivelistaan"
"You have no items to compare.","Sinulla ei vertailtavia tuotteita."
"Remove This Item","Poista tämä nimike"
Compare,Vertaa
"Clear All","Tyhjennä kaikki"
Prev,Edellinen
"We can't find products matching the selection.","Hakuehtoihin sopivia tuotteita ei löydy."
"Learn More",Lisätietoja
"Add to Compare","Lisää vertailuun"
"We found other products you might like!","Saattaisit olla kiinnostunut myös näistä tuotteista"
"More Choices:","Katso myös nämä:"
"Check items to add to the cart or","Valitse ostoskoriin lisättävät tuotteet tai"
"select all","valitse kaikki"
"Items %1-%2 of %3","Tuotteet %1-%2 / %3"
"%1 Item","%1 tuote"
"%1 Items","%1 tuotetta"
"Sort By",Järjestys:
"Set Ascending Direction","Aseta nousevaan järjestykseen"
"Set Descending Direction","Aseta laskevaan järjestykseen"
"More Information",Lisätietoja
"Maximum %1 characters","Enintään %1 merkkiä"
"We don't recognize or support this file extension type.","Tätä tiedostotyyppiä ei tunnisteta tai tueta."
"Image Detail","Kuvan tiedot"
Adding...,Lisätään...
Added,Lisätty
remaining,jäljellä
"unselect all","poista kaikki valinnat"
Inventory,Varasto
"Catalog Section","Katalogin osa"
Small,Pieni
"Custom image","Mukautettu kuva"
"Date and Time","Päivämäärä ja aika"
"Product Fields Auto-Generation","Tuotteen tietokenttien automaattinen luonti"
Storefront,Etusivu
"List Mode",Luettelotila
"Products per Page on Grid Allowed Values","Tuotetta per sivu ruudukkotilassa, sallitut arvot"
Comma-separated.,"Pilkuin erotettu."
"Products per Page on Grid Default Value","Tuotetta per sivu ruudukossa, oletusarvo"
"Products per Page on List Allowed Values","Tuotetta per sivu luettelotilassa, sallitut arvot"
"Products per Page on List Default Value","Tuotetta per sivu luettelotilassa, oletusarvo"
